Ruta,Dia,Tiempo_recorrido_min,Pasajeros,Clima
Ruta 2,Sábado,27,36,Soleado
Ruta 4,Jueves,42,31,Soleado
Ruta 4,Sábado,48,46,Nublado
Ruta 5,Domingo,49,46,Nublado
Ruta 4,Sábado,37,37,Lluvioso
Ruta 4,Martes,46,13,Nublado
Ruta 5,Miércoles,59,43,Soleado
Ruta 5,Martes,15,18,Soleado
Ruta 5,Domingo,52,27,Lluvioso
Ruta 1,Viernes,53,43,Soleado
Ruta 2,Domingo,16,49,Soleado
Ruta 2,Miércoles,40,12,Nublado
Ruta 1,Jueves,51,27,Lluvioso
Ruta 2,Miércoles,22,15,Nublado
Ruta 4,Martes,46,42,Lluvioso
Ruta 5,Miércoles,35,34,Nublado
Ruta 5,Jueves,40,6,Soleado
Ruta 3,Miércoles,43,26,Soleado
Ruta 3,Miércoles,37,26,Nublado
Ruta 2,Domingo,28,16,Soleado
Ruta 5,Lunes,19,43,Nublado
Ruta 2,Martes,28,8,Nublado
Ruta 1,Lunes,47,25,Lluvioso
Ruta 4,Sábado,27,7,Lluvioso
Ruta 4,Jueves,38,22,Lluvioso
Ruta 3,Miércoles,26,46,Nublado
Ruta 3,Sábado,31,33,Nublado
Ruta 1,Jueves,20,5,Lluvioso
Ruta 2,Viernes,60,40,Soleado
Ruta 5,Lunes,40,21,Lluvioso
Ruta 4,Sábado,55,40,Soleado
Ruta 1,Sábado,22,17,Soleado
Ruta 5,Lunes,57,33,Soleado
Ruta 5,Martes,48,20,Soleado
Ruta 1,Martes,20,29,Nublado
Ruta 2,Jueves,60,50,Soleado
Ruta 3,Domingo,59,37,Nublado
Ruta 1,Miércoles,54,25,Nublado
Ruta 3,Jueves,39,44,Lluvioso
Ruta 2,Domingo,56,5,Lluvioso
Ruta 5,Miércoles,20,34,Lluvioso
Ruta 5,Miércoles,56,28,Soleado
Ruta 5,Viernes,54,7,Soleado
Ruta 4,Domingo,28,12,Lluvioso
Ruta 3,Jueves,28,21,Nublado
Ruta 4,Miércoles,41,39,Nublado
Ruta 1,Lunes,27,33,Nublado
Ruta 1,Martes,20,14,Lluvioso
Ruta 3,Domingo,29,20,Soleado
Ruta 4,Miércoles,22,36,Nublado
Ruta 3,Domingo,50,8,Lluvioso
Ruta 3,Viernes,50,48,Soleado
Ruta 2,Sábado,51,23,Lluvioso
Ruta 5,Miércoles,21,25,Lluvioso
Ruta 2,Viernes,34,7,Lluvioso
Ruta 4,Viernes,59,44,Lluvioso
Ruta 4,Jueves,25,30,Nublado
Ruta 2,Viernes,16,46,Nublado
Ruta 1,Lunes,29,7,Nublado
Ruta 4,Lunes,29,45,Lluvioso
Ruta 5,Viernes,42,15,Lluvioso
Ruta 1,Jueves,17,16,Soleado
Ruta 3,Jueves,30,22,Soleado
Ruta 5,Jueves,28,24,Soleado
Ruta 3,Jueves,53,13,Soleado
Ruta 5,Domingo,60,42,Soleado
Ruta 5,Miércoles,51,7,Lluvioso
Ruta 2,Sábado,53,40,Lluvioso
Ruta 3,Lunes,23,15,Nublado
Ruta 1,Jueves,40,36,Nublado
Ruta 3,Sábado,17,29,Nublado
Ruta 1,Miércoles,39,38,Lluvioso
Ruta 2,Jueves,46,32,Soleado
Ruta 2,Martes,21,16,Soleado
Ruta 1,Sábado,18,19,Soleado
Ruta 4,Domingo,25,26,Lluvioso
Ruta 2,Domingo,24,36,Nublado
Ruta 3,Miércoles,18,35,Nublado
Ruta 1,Sábado,34,12,Nublado
Ruta 5,Viernes,21,42,Soleado
Ruta 4,Lunes,37,43,Nublado
Ruta 5,Lunes,56,19,Nublado
Ruta 4,Martes,30,13,Lluvioso
Ruta 2,Lunes,19,28,Soleado
Ruta 4,Sábado,32,15,Lluvioso
Ruta 1,Miércoles,34,43,Soleado
Ruta 4,Lunes,45,50,Lluvioso
Ruta 5,Martes,20,34,Nublado
Ruta 4,Jueves,56,39,Nublado
Ruta 5,Martes,37,5,Soleado
Ruta 2,Lunes,16,34,Soleado
Ruta 2,Domingo,30,29,Nublado
Ruta 1,Jueves,38,22,Nublado
Ruta 4,Domingo,18,15,Lluvioso
Ruta 1,Viernes,59,32,Lluvioso
Ruta 5,Viernes,41,5,Lluvioso
Ruta 1,Miércoles,41,35,Soleado
Ruta 4,Sábado,51,17,Soleado
Ruta 5,Martes,43,39,Lluvioso
Ruta 4,Miércoles,26,39,Nublado
Ruta 4,Sábado,44,8,Soleado
Ruta 2,Domingo,28,16,Nublado
Ruta 2,Viernes,43,15,Nublado
Ruta 1,Jueves,55,36,Nublado
Ruta 3,Lunes,19,48,Soleado
Ruta 5,Martes,19,6,Lluvioso
Ruta 3,Jueves,46,25,Lluvioso
Ruta 4,Jueves,27,47,Lluvioso
Ruta 1,Miércoles,60,6,Nublado
Ruta 2,Jueves,48,8,Nublado
Ruta 5,Lunes,54,38,Nublado
Ruta 4,Jueves,20,8,Lluvioso
Ruta 4,Lunes,54,26,Lluvioso
Ruta 5,Domingo,24,26,Lluvioso
Ruta 2,Viernes,60,35,Lluvioso
Ruta 2,Viernes,36,34,Soleado
Ruta 5,Martes,17,12,Lluvioso
Ruta 4,Sábado,58,33,Nublado
Ruta 4,Sábado,39,49,Nublado
Ruta 1,Miércoles,16,24,Soleado
Ruta 4,Viernes,54,45,Soleado
Ruta 1,Domingo,35,13,Soleado
Ruta 1,Sábado,50,12,Lluvioso
Ruta 3,Viernes,49,48,Nublado
Ruta 3,Sábado,36,22,Lluvioso
Ruta 3,Domingo,25,34,Soleado
Ruta 4,Domingo,36,20,Soleado
Ruta 5,Miércoles,42,11,Lluvioso
Ruta 2,Martes,36,49,Nublado
Ruta 4,Viernes,60,11,Nublado
Ruta 4,Jueves,47,39,Nublado
Ruta 3,Martes,39,46,Lluvioso
Ruta 5,Viernes,17,10,Lluvioso
Ruta 3,Viernes,37,9,Soleado
Ruta 2,Jueves,26,37,Nublado
Ruta 5,Domingo,43,29,Nublado
Ruta 3,Lunes,28,18,Lluvioso
Ruta 2,Miércoles,53,45,Nublado
Ruta 2,Sábado,44,32,Nublado
Ruta 3,Jueves,24,23,Soleado
Ruta 5,Martes,43,40,Nublado
Ruta 2,Domingo,52,11,Soleado
Ruta 3,Lunes,30,25,Soleado
Ruta 2,Jueves,16,33,Lluvioso
Ruta 2,Martes,32,44,Soleado
Ruta 2,Lunes,22,6,Soleado
Ruta 2,Martes,44,45,Nublado
Ruta 3,Domingo,15,26,Lluvioso
Ruta 3,Martes,27,16,Lluvioso
Ruta 4,Miércoles,20,48,Soleado
Ruta 2,Viernes,47,46,Lluvioso
Ruta 5,Lunes,43,13,Lluvioso
Ruta 4,Martes,46,47,Soleado
Ruta 4,Lunes,31,16,Soleado
Ruta 3,Lunes,58,38,Soleado
Ruta 5,Viernes,17,36,Soleado
Ruta 4,Miércoles,22,23,Soleado
Ruta 2,Jueves,44,32,Soleado
Ruta 2,Jueves,26,45,Nublado
Ruta 4,Lunes,24,43,Soleado
Ruta 4,Miércoles,35,27,Soleado
Ruta 3,Sábado,56,7,Nublado
Ruta 4,Miércoles,51,36,Soleado
Ruta 1,Jueves,59,39,Nublado
Ruta 3,Domingo,20,48,Nublado
Ruta 2,Lunes,23,43,Nublado
Ruta 2,Sábado,39,27,Nublado
Ruta 3,Viernes,51,47,Nublado
Ruta 4,Jueves,53,18,Lluvioso
Ruta 4,Domingo,41,39,Nublado
Ruta 1,Lunes,54,33,Lluvioso
Ruta 5,Jueves,38,25,Soleado
Ruta 4,Viernes,51,46,Lluvioso
Ruta 2,Viernes,40,15,Nublado
Ruta 1,Sábado,15,31,Nublado
Ruta 3,Domingo,53,14,Nublado
Ruta 4,Lunes,32,9,Lluvioso
Ruta 2,Lunes,55,40,Soleado
Ruta 1,Domingo,31,11,Lluvioso
Ruta 4,Lunes,59,13,Soleado
Ruta 1,Jueves,50,6,Nublado
Ruta 1,Lunes,24,38,Nublado
Ruta 4,Sábado,51,7,Soleado
Ruta 3,Domingo,19,38,Soleado
Ruta 1,Lunes,55,34,Nublado
Ruta 2,Jueves,30,8,Nublado
Ruta 3,Domingo,55,29,Soleado
Ruta 3,Martes,46,32,Nublado
Ruta 4,Sábado,53,9,Nublado
Ruta 1,Miércoles,53,18,Soleado
Ruta 2,Jueves,18,9,Soleado
Ruta 5,Viernes,18,37,Soleado
Ruta 1,Martes,35,40,Soleado
Ruta 3,Jueves,16,19,Soleado
Ruta 1,Jueves,27,47,Nublado
Ruta 1,Lunes,45,19,Soleado
Ruta 1,Sábado,30,9,Nublado
Ruta 4,Miércoles,26,39,Soleado
Ruta 2,Miércoles,40,25,Lluvioso
Ruta 2,Domingo,46,33,Lluvioso
Ruta 1,Sábado,39,36,Lluvioso
Ruta 1,Jueves,23,49,Soleado
Ruta 2,Viernes,37,13,Lluvioso
Ruta 1,Domingo,59,41,Lluvioso
Ruta 1,Martes,35,19,Soleado
Ruta 5,Viernes,59,36,Nublado
Ruta 5,Miércoles,50,35,Soleado
Ruta 3,Sábado,31,35,Nublado
Ruta 3,Sábado,34,31,Lluvioso
Ruta 2,Martes,53,24,Lluvioso
Ruta 4,Lunes,38,9,Lluvioso
Ruta 3,Sábado,27,7,Nublado
Ruta 3,Viernes,38,50,Lluvioso
Ruta 5,Viernes,47,46,Nublado
Ruta 2,Jueves,60,22,Nublado
Ruta 3,Sábado,16,8,Soleado
Ruta 3,Martes,41,13,Nublado
Ruta 2,Lunes,55,27,Lluvioso
Ruta 1,Domingo,57,43,Soleado
Ruta 1,Lunes,59,17,Nublado
Ruta 1,Lunes,26,27,Lluvioso
Ruta 2,Martes,46,17,Soleado
Ruta 2,Sábado,49,22,Lluvioso
Ruta 2,Miércoles,26,12,Nublado
Ruta 5,Domingo,16,38,Soleado
Ruta 3,Domingo,51,31,Soleado
Ruta 3,Sábado,25,34,Lluvioso
Ruta 5,Martes,52,34,Lluvioso
Ruta 4,Sábado,50,20,Lluvioso
Ruta 3,Jueves,54,32,Nublado
Ruta 5,Viernes,42,33,Nublado
Ruta 5,Martes,16,19,Lluvioso
Ruta 4,Jueves,22,47,Nublado
Ruta 1,Domingo,43,43,Lluvioso
Ruta 4,Lunes,54,46,Nublado
Ruta 3,Jueves,35,11,Lluvioso
Ruta 5,Lunes,15,27,Lluvioso
Ruta 2,Lunes,43,34,Soleado
Ruta 1,Jueves,39,7,Nublado
Ruta 4,Martes,43,28,Soleado
Ruta 1,Lunes,58,25,Lluvioso
Ruta 2,Miércoles,29,36,Nublado
Ruta 2,Martes,31,45,Soleado
Ruta 3,Miércoles,40,30,Lluvioso
Ruta 2,Viernes,55,7,Nublado
Ruta 5,Jueves,39,8,Soleado
Ruta 4,Martes,45,30,Lluvioso
Ruta 2,Lunes,31,7,Soleado
Ruta 4,Viernes,39,16,Nublado
Ruta 3,Jueves,41,11,Soleado
Ruta 3,Domingo,34,34,Soleado
Ruta 2,Domingo,23,42,Nublado
Ruta 2,Lunes,46,28,Lluvioso
Ruta 1,Viernes,44,19,Lluvioso
Ruta 1,Viernes,56,37,Lluvioso
Ruta 2,Lunes,25,39,Soleado
Ruta 4,Viernes,51,47,Soleado
Ruta 5,Jueves,34,47,Nublado
Ruta 1,Jueves,43,14,Nublado
Ruta 3,Domingo,18,19,Nublado
Ruta 5,Jueves,19,23,Soleado
Ruta 1,Lunes,37,24,Lluvioso
Ruta 3,Domingo,54,47,Lluvioso
Ruta 2,Martes,25,39,Nublado
Ruta 3,Jueves,52,44,Nublado
Ruta 4,Lunes,49,33,Nublado
Ruta 5,Sábado,20,7,Lluvioso
Ruta 1,Lunes,46,49,Lluvioso
Ruta 1,Viernes,42,7,Soleado
Ruta 3,Sábado,60,42,Soleado
Ruta 3,Lunes,49,16,Nublado
Ruta 2,Miércoles,60,15,Lluvioso
Ruta 5,Viernes,45,18,Lluvioso
Ruta 3,Martes,26,17,Nublado
Ruta 2,Jueves,38,16,Nublado
Ruta 4,Jueves,58,28,Soleado
Ruta 2,Lunes,38,5,Soleado
Ruta 2,Lunes,36,12,Soleado
Ruta 3,Viernes,49,39,Nublado
Ruta 2,Miércoles,45,13,Nublado
Ruta 4,Jueves,52,10,Lluvioso
Ruta 4,Sábado,60,25,Nublado
Ruta 2,Lunes,19,8,Soleado
Ruta 3,Domingo,55,16,Soleado
Ruta 3,Domingo,34,43,Soleado
Ruta 2,Domingo,37,20,Nublado
Ruta 4,Lunes,32,13,Nublado
Ruta 5,Viernes,25,37,Lluvioso
Ruta 3,Lunes,51,35,Soleado
Ruta 5,Sábado,24,34,Nublado
Ruta 4,Miércoles,21,33,Nublado
Ruta 3,Lunes,39,39,Lluvioso
Ruta 3,Domingo,46,24,Lluvioso
Ruta 4,Lunes,59,27,Nublado
Ruta 2,Sábado,54,41,Soleado
Ruta 3,Miércoles,60,25,Soleado
Ruta 4,Jueves,52,18,Soleado
Ruta 5,Domingo,18,46,Lluvioso
Ruta 1,Jueves,37,30,Soleado
Ruta 1,Viernes,35,7,Lluvioso
Ruta 3,Sábado,38,7,Nublado
Ruta 5,Martes,27,12,Lluvioso
Ruta 4,Sábado,44,35,Lluvioso
Ruta 3,Miércoles,30,38,Lluvioso
Ruta 5,Sábado,32,47,Nublado
Ruta 3,Martes,20,48,Soleado
Ruta 5,Lunes,35,28,Soleado
Ruta 3,Jueves,33,28,Soleado
Ruta 1,Sábado,60,23,Lluvioso
Ruta 1,Martes,28,20,Lluvioso
Ruta 4,Domingo,22,24,Lluvioso
Ruta 2,Martes,39,8,Nublado
Ruta 2,Lunes,40,49,Lluvioso
Ruta 2,Viernes,25,47,Soleado
Ruta 1,Domingo,43,9,Lluvioso
Ruta 3,Lunes,45,36,Soleado
Ruta 1,Martes,60,11,Lluvioso
Ruta 5,Martes,30,29,Nublado
Ruta 4,Viernes,35,44,Soleado
Ruta 4,Domingo,58,42,Nublado
Ruta 3,Miércoles,30,42,Soleado
Ruta 1,Miércoles,60,33,Nublado
Ruta 3,Sábado,45,26,Nublado
Ruta 5,Lunes,19,48,Soleado
Ruta 3,Miércoles,50,17,Lluvioso
Ruta 4,Sábado,54,12,Nublado
Ruta 1,Martes,21,24,Nublado
Ruta 1,Domingo,21,20,Lluvioso
Ruta 1,Domingo,36,34,Soleado
Ruta 4,Martes,16,20,Soleado
Ruta 1,Lunes,33,11,Soleado
Ruta 3,Sábado,26,28,Lluvioso
Ruta 3,Miércoles,27,47,Lluvioso
Ruta 1,Sábado,27,5,Nublado
Ruta 4,Martes,34,39,Lluvioso
Ruta 5,Sábado,21,29,Nublado
Ruta 5,Viernes,37,17,Lluvioso
Ruta 4,Lunes,27,21,Soleado
Ruta 4,Martes,57,17,Nublado
Ruta 1,Sábado,40,9,Lluvioso
Ruta 1,Sábado,50,34,Nublado
Ruta 5,Domingo,45,26,Soleado
Ruta 2,Miércoles,16,44,Nublado
Ruta 5,Sábado,39,31,Nublado
Ruta 4,Domingo,55,18,Nublado
Ruta 2,Sábado,39,10,Nublado
Ruta 4,Martes,20,36,Soleado
Ruta 1,Jueves,40,27,Soleado
Ruta 2,Martes,21,19,Soleado
Ruta 3,Miércoles,54,46,Nublado
Ruta 1,Lunes,48,44,Lluvioso
Ruta 5,Jueves,39,30,Lluvioso
Ruta 3,Sábado,29,13,Lluvioso
Ruta 2,Domingo,28,48,Soleado
Ruta 1,Jueves,31,5,Lluvioso
Ruta 3,Martes,37,33,Lluvioso
Ruta 2,Lunes,34,15,Soleado
Ruta 1,Lunes,44,43,Nublado
Ruta 1,Lunes,41,27,Soleado
Ruta 2,Jueves,44,35,Soleado
Ruta 1,Viernes,60,41,Lluvioso
Ruta 5,Jueves,16,24,Nublado
Ruta 1,Domingo,47,35,Soleado
Ruta 3,Martes,38,22,Soleado
Ruta 2,Martes,50,16,Lluvioso
Ruta 4,Jueves,53,33,Lluvioso
Ruta 4,Domingo,31,42,Nublado
Ruta 5,Sábado,48,38,Lluvioso
Ruta 5,Viernes,31,35,Nublado
Ruta 3,Martes,48,37,Soleado
Ruta 4,Domingo,53,45,Soleado
Ruta 2,Viernes,43,19,Soleado
Ruta 3,Viernes,60,30,Soleado
Ruta 3,Domingo,45,42,Nublado
Ruta 4,Sábado,38,43,Soleado
Ruta 3,Jueves,21,29,Nublado
Ruta 3,Martes,39,28,Nublado
Ruta 1,Domingo,57,38,Lluvioso
Ruta 2,Miércoles,37,21,Nublado
Ruta 3,Martes,42,46,Nublado
Ruta 1,Lunes,20,14,Lluvioso
Ruta 3,Miércoles,59,27,Lluvioso
Ruta 4,Viernes,57,31,Nublado
Ruta 2,Lunes,50,17,Lluvioso
Ruta 1,Sábado,53,50,Nublado
Ruta 5,Martes,32,13,Soleado
Ruta 2,Viernes,28,32,Lluvioso
Ruta 4,Lunes,28,49,Soleado
Ruta 2,Sábado,60,48,Lluvioso
Ruta 5,Sábado,24,24,Soleado
Ruta 1,Lunes,41,20,Lluvioso
Ruta 5,Lunes,18,35,Soleado
Ruta 1,Miércoles,47,9,Lluvioso
Ruta 1,Sábado,21,23,Lluvioso
Ruta 2,Domingo,56,27,Nublado
Ruta 4,Sábado,40,41,Nublado
Ruta 4,Martes,26,23,Lluvioso
Ruta 3,Sábado,31,18,Lluvioso
Ruta 5,Lunes,47,41,Nublado
Ruta 5,Miércoles,32,36,Nublado
Ruta 3,Martes,28,23,Lluvioso
Ruta 1,Miércoles,47,16,Soleado
Ruta 3,Viernes,38,32,Nublado
Ruta 1,Sábado,20,8,Lluvioso
Ruta 3,Lunes,23,15,Nublado
Ruta 3,Lunes,20,44,Soleado
Ruta 5,Martes,15,47,Soleado
Ruta 2,Jueves,18,29,Lluvioso
Ruta 5,Lunes,26,7,Soleado
Ruta 2,Domingo,23,46,Nublado
Ruta 3,Martes,38,38,Nublado
Ruta 1,Jueves,28,48,Soleado
Ruta 1,Lunes,29,45,Nublado
Ruta 2,Miércoles,24,24,Nublado
Ruta 5,Jueves,48,25,Lluvioso
Ruta 4,Lunes,51,31,Lluvioso
Ruta 1,Lunes,16,5,Lluvioso
Ruta 4,Domingo,18,20,Nublado
Ruta 4,Viernes,28,9,Lluvioso
Ruta 5,Sábado,25,32,Soleado
Ruta 4,Miércoles,52,27,Soleado
Ruta 4,Jueves,56,14,Nublado
Ruta 5,Miércoles,45,22,Lluvioso
Ruta 3,Jueves,52,17,Lluvioso
Ruta 2,Sábado,30,39,Nublado
Ruta 3,Jueves,22,8,Nublado
Ruta 3,Martes,58,40,Lluvioso
Ruta 4,Viernes,16,39,Nublado
Ruta 4,Domingo,19,38,Lluvioso
Ruta 3,Martes,59,30,Lluvioso
Ruta 3,Martes,49,23,Lluvioso
Ruta 4,Sábado,21,42,Lluvioso
Ruta 2,Lunes,56,24,Lluvioso
Ruta 3,Sábado,53,20,Lluvioso
Ruta 1,Martes,35,18,Lluvioso
Ruta 4,Viernes,40,36,Lluvioso
Ruta 1,Domingo,47,20,Soleado
Ruta 1,Martes,47,32,Nublado
Ruta 1,Domingo,32,48,Nublado
Ruta 1,Sábado,59,40,Soleado
Ruta 1,Viernes,44,23,Lluvioso
Ruta 4,Viernes,21,33,Soleado
Ruta 4,Lunes,38,47,Lluvioso
Ruta 1,Lunes,46,6,Nublado
Ruta 2,Lunes,45,48,Soleado
Ruta 2,Jueves,44,30,Lluvioso
Ruta 5,Jueves,54,33,Lluvioso
Ruta 4,Lunes,20,15,Lluvioso
Ruta 3,Viernes,28,32,Nublado
Ruta 3,Jueves,42,15,Lluvioso
Ruta 5,Viernes,16,50,Soleado
Ruta 2,Domingo,44,28,Lluvioso
Ruta 3,Jueves,25,20,Soleado
Ruta 5,Domingo,52,43,Nublado
Ruta 2,Jueves,56,49,Soleado
Ruta 2,Sábado,47,49,Lluvioso
Ruta 3,Sábado,24,18,Nublado
Ruta 1,Martes,57,27,Lluvioso
Ruta 1,Miércoles,34,10,Lluvioso
Ruta 4,Miércoles,15,21,Soleado
Ruta 4,Martes,45,31,Lluvioso
Ruta 2,Miércoles,46,24,Nublado
Ruta 2,Viernes,38,46,Nublado
Ruta 5,Miércoles,27,15,Nublado
Ruta 1,Martes,51,37,Nublado
Ruta 5,Lunes,51,6,Nublado
Ruta 2,Miércoles,48,33,Nublado
Ruta 2,Domingo,35,11,Soleado
Ruta 5,Miércoles,50,49,Soleado
Ruta 4,Miércoles,33,7,Lluvioso
Ruta 5,Jueves,42,6,Nublado
Ruta 1,Miércoles,25,9,Lluvioso
Ruta 5,Viernes,17,6,Soleado
Ruta 1,Viernes,59,8,Lluvioso
Ruta 2,Viernes,26,6,Nublado
Ruta 5,Lunes,39,17,Soleado
Ruta 3,Jueves,42,24,Nublado
Ruta 1,Lunes,25,28,Nublado
Ruta 2,Miércoles,33,20,Lluvioso
Ruta 2,Viernes,22,24,Lluvioso
Ruta 1,Sábado,40,23,Lluvioso
Ruta 4,Miércoles,15,37,Lluvioso
Ruta 5,Miércoles,52,33,Nublado
Ruta 3,Sábado,27,19,Nublado
Ruta 5,Sábado,15,15,Soleado
Ruta 1,Martes,25,47,Nublado
Ruta 3,Sábado,59,34,Nublado
Ruta 5,Sábado,46,13,Lluvioso
Ruta 2,Lunes,46,28,Nublado
Ruta 3,Miércoles,17,33,Lluvioso
Ruta 4,Sábado,40,50,Soleado
Ruta 3,Viernes,44,33,Lluvioso
Ruta 2,Sábado,54,37,Lluvioso
Ruta 5,Jueves,49,46,Nublado
Ruta 3,Martes,41,11,Lluvioso
Ruta 3,Martes,54,31,Nublado
Ruta 2,Viernes,21,11,Lluvioso
Ruta 1,Domingo,21,27,Soleado
Ruta 2,Viernes,18,36,Nublado
Ruta 3,Jueves,50,36,Lluvioso
Ruta 3,Jueves,23,41,Nublado
Ruta 3,Miércoles,42,33,Soleado
Ruta 5,Sábado,31,28,Nublado
Ruta 4,Martes,21,9,Nublado
Ruta 5,Viernes,46,22,Soleado
Ruta 2,Viernes,54,26,Lluvioso
Ruta 4,Jueves,54,32,Lluvioso
Ruta 4,Martes,29,30,Soleado
Ruta 3,Domingo,49,22,Nublado
Ruta 2,Domingo,43,8,Nublado
Ruta 2,Sábado,22,38,Lluvioso
Ruta 3,Miércoles,24,35,Lluvioso
Ruta 4,Viernes,30,47,Soleado
Ruta 5,Lunes,54,6,Soleado
Ruta 5,Sábado,30,12,Soleado
Ruta 5,Miércoles,51,45,Nublado
Ruta 4,Viernes,36,26,Soleado
Ruta 3,Domingo,43,23,Lluvioso
Ruta 3,Martes,24,28,Soleado
Ruta 5,Domingo,50,13,Nublado
Ruta 5,Viernes,38,32,Lluvioso
Ruta 2,Jueves,32,22,Soleado
Ruta 5,Domingo,51,14,Nublado
Ruta 2,Martes,57,39,Soleado
Ruta 3,Sábado,28,7,Soleado
Ruta 2,Jueves,15,44,Soleado
Ruta 4,Lunes,18,46,Nublado
Ruta 5,Miércoles,40,24,Lluvioso
Ruta 2,Domingo,48,47,Lluvioso
Ruta 3,Domingo,53,8,Soleado
Ruta 1,Domingo,46,20,Lluvioso
Ruta 1,Domingo,49,36,Soleado
Ruta 5,Martes,50,7,Nublado
Ruta 1,Lunes,28,48,Lluvioso
Ruta 1,Lunes,39,6,Lluvioso
Ruta 1,Lunes,55,43,Nublado
Ruta 2,Lunes,39,27,Lluvioso
Ruta 2,Martes,24,36,Soleado
Ruta 2,Sábado,33,32,Soleado
Ruta 1,Lunes,46,15,Lluvioso
Ruta 3,Miércoles,55,46,Lluvioso
Ruta 2,Sábado,60,26,Nublado
Ruta 2,Viernes,42,36,Soleado
Ruta 2,Martes,45,44,Lluvioso
Ruta 4,Miércoles,50,47,Soleado
Ruta 5,Viernes,35,12,Lluvioso
Ruta 1,Lunes,59,50,Lluvioso
Ruta 3,Domingo,21,22,Soleado
Ruta 2,Miércoles,51,17,Soleado
Ruta 1,Lunes,35,42,Soleado
Ruta 5,Viernes,51,38,Soleado
Ruta 4,Sábado,21,31,Soleado
Ruta 5,Miércoles,57,36,Nublado
Ruta 5,Sábado,53,32,Lluvioso
Ruta 1,Domingo,26,10,Nublado
Ruta 2,Viernes,24,27,Nublado
Ruta 5,Jueves,24,27,Lluvioso
Ruta 3,Viernes,39,34,Nublado
Ruta 3,Domingo,32,8,Nublado
Ruta 5,Viernes,49,21,Nublado
Ruta 3,Jueves,33,9,Soleado
Ruta 5,Viernes,28,34,Soleado
Ruta 2,Miércoles,47,48,Nublado
Ruta 3,Jueves,25,11,Soleado
Ruta 5,Jueves,49,36,Nublado
Ruta 5,Lunes,34,12,Lluvioso
Ruta 4,Miércoles,27,30,Lluvioso
Ruta 2,Martes,20,47,Lluvioso
Ruta 3,Domingo,51,29,Soleado
Ruta 4,Jueves,60,49,Soleado
Ruta 4,Viernes,55,29,Nublado
Ruta 5,Martes,17,14,Soleado
Ruta 1,Lunes,20,38,Soleado
Ruta 5,Domingo,33,27,Soleado
Ruta 1,Viernes,58,34,Soleado
Ruta 4,Lunes,59,23,Lluvioso
Ruta 5,Jueves,57,40,Nublado
Ruta 4,Lunes,52,16,Soleado
Ruta 5,Jueves,17,45,Soleado
Ruta 1,Lunes,45,34,Soleado
Ruta 1,Miércoles,45,27,Nublado
Ruta 1,Martes,21,30,Soleado
Ruta 3,Lunes,18,42,Lluvioso
Ruta 1,Jueves,45,14,Nublado
Ruta 3,Martes,41,35,Nublado
Ruta 2,Martes,44,40,Lluvioso
Ruta 4,Sábado,29,16,Soleado
Ruta 2,Jueves,20,16,Nublado
Ruta 5,Miércoles,18,38,Lluvioso
Ruta 3,Viernes,48,38,Nublado
Ruta 1,Miércoles,50,34,Soleado
Ruta 3,Viernes,52,48,Soleado
Ruta 5,Martes,26,20,Soleado
Ruta 1,Domingo,35,48,Soleado
Ruta 4,Sábado,21,50,Lluvioso
Ruta 3,Jueves,34,31,Lluvioso
Ruta 4,Viernes,32,37,Lluvioso
Ruta 5,Jueves,37,9,Lluvioso
